Dongxiang,Chinese
"laoshi yawula woye? yawulawo,danshi hhe ede dunxi sumulazhi mutu pese irewo",老师走了吗，走了，但是他现在好像想起什么事情，又回来了
"fuchugvdu hheni giede khan sidarazho,hheni jiajula man sidarawo",昨天他们家着火了，他的家具都被烧了
mi shubao erei zhi oluda wo,我的书包找不到了
chi bi ghala jienyin uzhele echi u lie,你跟我去看电影吗
"bi meiliedefa xienchiin echikude ni,naran miyi qiaorun xiedene zhun zhayisan niekielien",我上次去县城的时候，太阳晒在我脑袋上跟针扎的一样
"mejiedawo, bi chini konni tayiwo",对不起我踩你脚了
jien meilie hhe kenjin ire shidane,点前他肯定能到
jien meilie hhe ire shidanu,点前他能到吗
chi mejie lie,你知道吗
"bi hheyi gie echikudeni,hheni uijien sozilazho,hhe ijin giede uwo",我上次去他家的时候，他们家门是锁着的，他一定不在家
ene sai dansun oloduzho,这菜太咸了
ene sai dansun tai chogvo,这菜太淡了
ene gie ene hon caiyine,这房子今年必须要拆了
"ene shiqin hhe echigvase,gao uwo",这事让他去不合适
ye ni egvizhi baolusenu xien kha ne wagva senu puse budan iye a,洒完农药必须洗手才能吃饭啊
chi kieliese olu u lie? chi urou egvise gao nu la,你说话可以吗？打字不是挺好的吗
mini baer chogo nu?hheni baer baer chogo,我的钱少还是他的钱少
hheni beye mashigvalase undu,他个子比谁都高
hheni baer minugvune giedugvan olon,他的钱比我多多少
da olon wo,多块
chi ghura baozhetaka ene wilie gie baragvane,你必须在下雨前把这活干完
"bi hheni ulie agine,hhe made ulie khi ne",我不会娶她的，她也绝不会嫁给我的
chi de giedudu naduwo,你在玩了几天
"chi xieni irekudeni,lalagvan de ire,mini bu chao xiereigvane",你晚上回来的时候，走路轻一点，别把我吵醒了
endegvei zemin jiere baodene ghalu widawo,鸡蛋掉在地上了，摔碎了
chi giedu fudu jiesun keroune,你需要多长的绳子
baza echikude mo giedu gholowo,去巴扎多远的路程
chi enefa echise giedu udu de khareizhi irene,你这次去几天能回来
hhela matande matui unbakuyi surugvane,他们将教我们怎么游泳
ene giedu fudu enzhasun giedun echiwo shi,这么长的缰绳得花多少钱啊
puse fade chi bu uda,下次不要再迟到了
bi sumulase hhe bosizhi irewo,我想他应该已经起来了
bi adasene osizhi undudawo,我长得比我父亲高了
bi ede erei zhi oluwo,我现在找到了
"chi jian kieliese chi magvashi irene,shihua nu",你刚才说你明天要来，是真的吗
chi yan ijiene,你吃点什么
yan liaozhe olune,什么都行
gie zhi gaodasan budan uwo,没有现成的食物
bi chade iyewuni giele echine,我去给你做饭
chi giesan ghujin no zhe,你饭做得真快
chi binji usu bu ochi,你不要喝凉水
"bi chade kielieye,hhelayi shiqin chi bu gonji",我劝你还是少管他们的事
"hhe matu gie liaozhe yeshi mini kewon a,bi idin gonjine",他再不好也是我儿子啊，我能不管他吗
chi shi musa ni yan kun wo,你是木洒的什么人
musa ni nainai enende saonu,木洒的奶奶住这里吗
chi ene ni banjide de ehigva,你把这箱子搬到架子上去
chi ghura baozhetaka ene wilie gie baragvane,你必须在下雨前把这活干完
"Hhe shi nie biinzi shu wo,chinugvun? nu",那是一本书，是你的吗
"pushi wo, minigvung pushuo,hhe shi chinugvung wo",不，不是我的，是你的
Hhe nie oqidei kun yeshi xieshin enbene u,那个女子也是学生吗
"Hhe? kun shi laoshi wo,olu zho ye",那个人是老师，对吗
"Hhela kunpa shi laoshi bimu,xieshin pese",他们也许是老师，也许是学生
Enezegven nie shi chini dunxi wo nu,这些都是你的东西吗
"enezegven dunxi dunda ezegven nie shi minugvun wo,ezegven nie shi mini gaganugvun wo",这些东西中有的是我的，有的是我哥哥的
"ene nie shon gudusun shi minugvun ye pushuo,mini gaganugvun ye pushuo,kienugvun pese ulie mejiene",至于这双靴子，既不是我的，也不是我哥哥的，不知道是谁的
chi khideini kielien kielie shidanu ,你能说汉语吗
"olu zho,bi aideini ezegven nie kielie mejiene",是的，我会一点汉语
"tere ulie mejiene,tere zhishi bijienni ene torodu kielie mejiene",她不懂，她只懂我们这儿的话
ana mini ye giede wo,我妈妈也在屋里
chi dunxi khala taiwo,你东西放哪了
"ijieku dunxila chugui de wo, yunjiku dunxila shire jiere wo",吃的东西在橱柜里，用的东西在桌子上
ende diinzi ghuar wainu,这里有两把椅子吗
chimade ...wainu,你有吗
?chimade gienan wainu,你有馍馍吗
made ghuar gienan wo,我有两个馍馍
"enudu matan ni xiaoqu ni taoer chizhe chizhelie wo,seigvan alane",今天我们小区的桃花都开了，真是太漂亮了
enudu shi yan udu wo,今天是几号
chi shi yan shijiede olusan wo,你是什么时候出生的
tere shi yan shijiede endese yawulasen wo,他是什么时候离开这里的
lidali yan shijie de pese bi matawo. dagai shi udan honku eyede woba,我忘记了确切的日期，大概是去年月吧
jijien olu wo? lienjien oluwo? oluzho ye,几点钟了？两点了，对吗
"mini biao ghudulazho,chini biao tandazhi wo",我的表快了，你的表慢了
bi sumulase lienjien se jifiin dawa wo,我想两点过几分了
"ese oluzhi wo,dao lienjien ulie olune",没呢，还没到两点
chini biao chini dakunu shifiin ghudulazhiwo,你的表大约快分钟
sagveiji sanjien oluye dene biaoni duiyile,等到点整时，请对一对表吧
ede bi yawukude kuruwo.bi ijin hhe shijiedene kurune,我该走了，我必须准时到达
"chi ulie udane,ede dao eqie wo",你不会迟到的，现在还早呢
bi sumulase udu nie linjidene chini nie uzhele ire ne,我想约定一个时间来看你
chugo xinqiwu shi ali nie udu echi liaozhe oluzhi wo,除了星期五之外，你哪天都可以去
mini kewon irezhi nie sara xiliu oluwo,我的儿子回来有一个多月了
chi nasun giedun olu wo,你几岁了
bi khorun oluwo,我二十岁了
"gaga chini da ulie olune,oluzho ye",你哥哥还不到岁，对吧
"bi chimase ghua fugie wo,mini jiao chimase ghua mila wo",我比你大两岁，我的弟弟比你小两岁
"hhe ghuala shi nie nasuntu wo,ighua shi ghoni zhintuni wo",他俩同岁，都是属羊的
"Azei ajia mini chu fugie wo,bi chu mila wo",我姐姐最大，我最小
"oqin jiao mini tere se ghuran nasun mila wo,azei chini tere se tawun nasun fugiewo",我妹妹比她小三岁，你姐姐比她大岁
"chi nie ta,bi nasun giedun olune",你猜猜，我多大岁数了
bi uzhe se chi dakumu olune,我看你大概岁吧
pese nie xinqisi shi mini nasun olune,下星期四我将满岁
abuduni hhe fugie kewon ede khoreilan olune,阿布杜的那个大儿子现在岁左右
chi jiehun gie wu wo ye,你结婚了吗
dao wiye,还没呢
tani giede kun giedun wo,你家里有几口人
bijienni giede ighua dolon kun wo,我家一共口人
oqin jiao mini jiehun giezhi ernien oluwo,我妹妹已经结婚两年了
hhe kienle jiehun giewo,她跟谁结婚了
hhe nie tolazhi kaiyichen kunle jiehun giewo,她和一个拖拉机手结婚了
hhela de kewos wain u uwo,他们有孩子了吗
hhe meliedu sarade nie kewon oluwo,她上个月生了一个男孩
mini kewon zhunbei giezhi liuye jiehun giene,我儿子准备月结婚
hhela yan shijie de jiehun giekuni dao jiejin ese giezhi wo,他们还没决定什么时候结婚
hhelani sunzila igua fugieda wo,他们的孙子现在都长大了
bijienni giebide hao zoyou de ghurun ijiene,我们邻居号左右办喜事
chi khala olusan,你出生在什么地方
bi endese hhende golo witu nie zhenzi de olusan wo,我出生在离这里不远的一个小镇里
chi khala fugiedasan wo,你在哪里长大的
bi jiu ene agvinde fugiedasan wo,我就在这个村子里长大的
gayi mini milagvanse baza fugieda san wo,我哥哥从小在城里长大的
chi khala saozho,你住在哪里
bi ene agvin nanbangiede nie jien wafan de saozho,我住在村南的一间瓦房里
dawasan de ene oronde olon bienziwo,在过去的年里，这儿发生了许多变化
hhezegven giela ighua shi dawasan shiniende baigvasan wo,那些房子都是在过去十年中建造的
chi giebila chimade gao wain u,你的邻居们都对你好吗
chini giebini hhe nie gie shi giezhe banjizhi iresan wo,隔壁那家人家是什么时候搬来的
hhela banji zhi ire kude bi dao mila wo,他们搬来时我还小呢
endedu gunshe weishiinyan khala waine,这里公社卫生院在什么地方
hhe nie tashi qiaoni dawa ma hhe enbaine,过那座石板桥就是
xienzhiinfu de echise ali miende yawune,去县政府朝哪个方向走
"izhi nanbangiede yawu,nie mila mutun shidase borun miende ghuaiqi ma enbaine",一直朝南走，见小树朝右拐就是
hochezhan de echise mo giedugvan wo,到火车站去有多远
endese dao gholo wo,离这还远呢
ghuanzi jiu lijien ni duibade wo,饭馆就在旅店对面
chi ereizhi olu shidane,你能找到的
endedu chadagvan shanjien khala waine,这儿的近一点的商店在哪儿
bi ene manse yawumu hhe manse yawune,我是从这边走，还是从那边走
ene dao gao wo,这个更好
bi shanjiense ezegven nie dunxi agile echine,我从商店买些东西
chi musisan hhe jien neirazho,你穿的衣服合适
ene jien shi chouzi gala giesan wo. chi kielie oluzhi wu,这衣服是绸子做的，你说是吗
imutu hai ede hoyikuni wainu,这种鞋现在还有卖的吗
"hhe nie qibao uzhese seigvan nowo,ma baer olon echine",他那提包看起来很漂亮，就是太贵了
ighua giedugvan baer wo,一共多少钱
chi hhe dansun ni namade jieliezhi ogi,请你把盐递给我
"ene isan zanan wo,chi namade ganjin ni nie ogi",这雨伞脏了，我给你个干净的
bi hhe nie xianzini yanzi ma yanse ni naiyine,我喜欢那箱子的样子和颜色
ene bosi qienqie luse zholienno wo,这种布摸起来很软
ene ganchanse biedungvanni wainu uwo,有没有比这粗一点的擀面杖
enuduku qienq matugvan wo,今天的天气怎么样
gaono wo,很好
hhe ghua agvachou mugvundu zho,那两头种牛在相斗
fuzhugvudu niudu maomao ghura bao wo,昨天下了一天的毛毛雨
magvashiku qienqi shi uzhe se matu giene,明天的天气你看怎么样呢
uzhese mahashi zhasun baone,明天有可能下雪
xiawude dakumu arulu ne,下午可能转晴
qienqi xienxien khalundale qiyiwo,天气渐渐热起来了
enudu chini jinshiin matugvan wo,你今天身体怎么样
ene magva namade gao wi hin wo,今天早上我感到不是太舒服
fuzhugvudu bi giemere wo enudu gouji gaodawo,昨天我病了，现在好点了
fuzhugvudu bi daifu xinlazhi nie uzhegvawo,昨天我请大夫做了一次检查
ene yese hhe mini xiaoshide nie ijie giezhi kieliewo,他叫我每个小时服一次药
mini tulieku tuyi wo ma bi dao kana zho,我的烧退了，但是还咳嗽
"daifu kielie se mini onggie chigatu zho,zhiyen ijiese mini shiinqi gao uwo",医生说我脸色苍白，吸烟对我身体有害
mini jiao ni qiaorun otuzhi hin wo,我弟弟的头疼得厉害
hhela fuzhugvu ujieshilien hheni kaidao giewo,他们昨晚给他开刀了
chini ali nie begvelie otuzho,你的那个胳膊疼
"mini borun begvelie otuzho,jiu ene toro otuzho",我的右臂疼，就那儿疼
"chi matu giewo?qiaorun injiezho,dao mini zhugve jiaolizho",你怎么了？头疼，而且还心跳
chi uzhese ene gieni uzhezhi gaodagva shidanu,你看，这个病能治好吗
bi penjizhi chi eqiegvan gaodase,我希望你早日恢复健康
ede chi gaoda wo ye,现在你好了吗
"gaoda wo. meliedu zhuma giemere zho,danshi ede jinshiin gaonowo",好了，虽然上星期病过，但是我现在身体非常好
ene torodu ghazhade tashi olon wo.zhonjia tareise hin gao wiwo,这地方土地石头多，不太适合种植
ene oron de zhuyaoji yan tareine,这地方的主要农产品是什么
sheyanla nie hon elide ighua ghazha odoluzho,社员们每年这个时候都耕地
tolaji zhonjia tareiku fanfa ni gaiyiwo,拖拉机革新了耕作方法
bijien ni shiinde bosi nokieku gunchan olon wo,我们省里纺织厂很多
"gunchande nigun waine,nan gun ye waine",工厂里有女工，也有男工
"zhiyao ghura ulie egvise, ene honku shouchiin pese gaowo",只要不下暴雨，今年又是个好收成
"youji kun morei unukude xiqi wo,bi pese ula khireikude xiqi wo",有的人喜欢骑马，可我喜欢爬山
pese chi yande xiqiwo,此外，你有什么爱好吗
bi khalun cha de khizhi zhagvasun bareikude chu xiqi wo,我最喜欢夏天钓鱼
"imutuni wilie ni,bi chenliezhi ese dawawo",我没听说过这样的事情
"matan ghuala nie qi xiayiye,chi duran wainu uwo",咱们下一盘棋吧，你有没有兴趣
bi qi xiayi se gao xiayi ulie mejiene.matan ghuala nie banjiduye,我棋下得不好，咱们俩摔跤吧
chini xiao feiliesan gaono wo. chi nie udu nie eneni suruzho ba,你吹箫吹得很好，你每天都练习吗
bi sumulase wo nu ghuala nie kieliencheye,我希望同人或者人谈话
"duibuqi,hhe ghuala wilie ede chigvara wo",对不起，他们俩现在忙着
chi matu gie jiejin giesanni bi nie mejie ye giezhi jindazho,你怎么决定的，我急于想知道
bi sumulase chi zhuyine nie bienyigvase,我希望你改变主意
fuzhugvu magva chi jiejiende bosizho,昨天早上你几点起床的
"bi xiereisan eqie wo,kijie izhi liujien kuru dene sai bosiwo",我醒得好早，但到六点才起床
chi daishun jienne musi wu,你马上就穿衣服了吗
"eng,bi jien ne musi dede yaoshe ijiele echiwo",嗯，我穿好衣服就去吃早饭了
fuzhugvu magva chi yan shihou de gunzuo gie kailiwo,昨天早上你什么时候开始工作的
"bi de giese likaigiewo,bajien ban de gunzuo gie kaiyi wo",我点离开家，开始工作
chi niudu gunzuo gie wu,你工作了一整天吗
"oluzho,bi eqie magva se izhi gunzuo giezhi xieni kuruwo",是的，我从早上一直工作到深夜
bi de gunzuo giezhi ba olu senu khareizhi kide echiwo,我工作完毕，然后回家了
bi ujie shilien de kijiewo,我晚上睡觉
bi daigoshun hhuntura wo,我很快睡着了
nie xieni kijiesan futan wo,整个晚上我睡得很舒服
chi fuzhugvu ujieshilien khala wo,昨天下午你在哪儿
"bi nie ujieshilien kide wo,bi dosila lene gandan lalizho",整个下午我在家，和朋友们聊天
fuzhugvu ujieshilien torunzhu chi yan giezho,昨天下午点左右你在干什么
bi gonbo chenliezho,我在听广播
bi chini erei wude chi yan giezho,我找你的时候，你在干什么
chi mini erei wude bi zhiin heifan ijiezho,你找我的时候，我正在吃晚饭
"bi XX ni uzhele echi kude,tere zhan shuji kielienchezho",当我去看望的时候，他正在同张书记谈话
bi ene magva yan gie senni chi tazhi mejie shidanu,我这个早上做了什么，你猜得到吗
tere ene magva yan giesanni bi ulie mejiene,我不知道他早上做了什么
tere khala saosan oronne kieliesanni bi matawo,我忘记了他说他住哪里
chi meliedu fa baba ne xinni jieliesenu ede giedun cha oluwo,自从上次接到叔叔的信到现在有多久了
tere meliedu fa chimade xin pizhisan shi yan shihou wo,他上次给你写信是什么时候
giedun cha olusanni bi jila dane,我记不得有多久了
fuzhugvu ujielien bi babadane xin pizhiwo.pese qin giezhi zhinji dane,我昨天给叔叔写了信，我不能再拖延下去了
bi mini xin sudoro giebei zhan zhaopien ni zhonlozhi echigvawo,我在信里附上了几张照片
bi giemeresan gala jinjisan shijie dene echi dawo,我没能按约定时间去，因为我病了
"bijien ghua zhochiin ni xinlazhi heifan ijiegvane giese, hhela ese irewo",我们请了两位客人吃晚饭可是他们没有来
ene bierei hai ula shireizho,这个媳妇纳鞋底
magvashi eqie magva chi yan shihoude bosi ne,明天早上你几点起床
"bi dakumu eqie xiereine, de bosi ne",我大概醒得早，起床
ingiese chi pese yan giene,然后你做了什么
bi jienne musi dene yaoshe ijiene,我穿上衣服之后吃早饭了
magvashijie yaosede chi yan ijiene,明天早饭你吃什么
bi magvashi yaoshede dakumu endegvei kuanshen ijiede,我明天早上可能吃鸡蛋和油饼
yaoshe ni ijiedene bi shanban giele echine,早饭之后，我准备去上班
"bu ujieshilien de xiaban giene, se melie kide irene",我将在下午下班，前到家
bi hhechezhi bazila dase huai jiere kherei hamarane,我累的不行的时候，就上炕休息
bi hhuntura da liaozhe kijiene,即使睡不着，我也躺着
magvashijie bi kunpa yama da ulie giene,明天我恐怕什么也不做
tere yan giekuni dao ese jinjizho,要做什么还没定下来呢
wilie ni shishi ni mejiezhi baragva dase jiejin gie dane,不知道全部事实，不能做决定
chi hhende zhasun bao wo ye,你那里下雪了吗
chi musisan shi yan jien wo,你穿的是什么衣服
bi musisan shi mien dayiwo,我穿的是棉大衣
"mini jienla ighua zang no wo,musizhi ulie olune",我的衣服全都脏了，不能穿了
mini ene nie ganzi jien made ese neirazho,我的这个衣服很不合身
uzhese ene nie medun ni bi musi dane,看来这个裤子我穿不了
chi zhosan shini magvalani bi zhuyi ese giezho,我没注意到你戴着帽子
chi yan giezho,你干什么呢
"bi shu uzhe zho,chi yan giezho",我在看书呢。你干什么呢
"bi ede yama ese giezho,nie cha baise bi dosi dene xin pizhi wo",我什么都没干。过一会，我给朋友写信
bi kide khareine,我回家去呢
ede bi dosine kide echine,我现在去朋友家
chini oqinjiao ede ali oronde wo,你妹妹现在在什么地方
hhe mande nie dosilene kielienchenduzhwo,在那边和一个朋友谈话
"ede bi jiu yawulane,hhe mande kun mini sagveizho",现在我就要走了，那边有人在等我
chi nie udu jijiende bosizho,我起床之后，常常叫醒我弟弟
mini jiao mini mase udazhi bosizho,我的弟弟比我起得晚
"tere gojia jienne dao musi ulie mejiene,tere dao mila wo",他还不会自己穿衣服，他还小呢
bi?hheyi nu kani wagvagva dene jienni musigvazho,我给他洗脸洗手，然后给他洗衣服
tere jienni shidan giezhi tezhila dane,他试着扣扣子，可是扣不上
bi jienne musidene sai yaoshe ijiene,我穿好衣服才吃早饭
bi suchan yaoshede yagvanie olon ijiene,我经常早饭吃得很多
de torunzhu bi heifan ijiezho,点左右我吃晚饭
"bi dakumu de kijie zho,dai kijiese jiu hhuntura zho",我大约点半睡觉，刚睡就能睡着
man khizhe,都出来
"dan ghura ese baose,bi zhagvasun bareile echizho",如果不下雨，我将去捕鱼
chi dan eqiegvan baosizhi pese chimade yaoshe ijieku shijie waine,你如果早些起床的话，你本来是有时间吃早饭的
"made shijie bizhi pese ,bi chini ochirale irene giezho",如果我有时间的话，我本来是要去看你的
chi hhende kha ese zhaoyizhi pese tere chiyi chujiegve shidanu,如果你没向他招手的话，他还能看见你吗
chi ese khantarei zhi? unase chini shigvara ulie ghurane,如果你没有滑倒的话，你本来是不会把腿摔断的
bi chini echikuni mejie zhi pese bi jiu morei ne chimade layizhi iregvane,如果我知道你要去的话，我是会把马给你牵来的
chimade yeshi wikuni bi mejie zhi pese bi jiu wijienni ulie sozila ne,假如我知道你没钥匙的话，我就不会锁门的
"tere biinlai nemale hantu echine giezhi wo,teren de shijie uwo",他本来是要和我们一起去的，但是他没有时间
bi ene mo ni nie asazhi pese mone ulie widagvane,我如果问了这个录得话，我就不会迷路了
bijien hhamara shida liaozhe hamarakuni ulie sumulane,即使我们可以休息的话，我们也不想休息
magvashi ghura ulie baose bi yagvanie agile echine,如果明天不下雨，我非常想去买东西
bijien dagaili echine.ene yao magvashijieku qienqi mutu gie guiluse sai jiejin giene,我们可能去也可能不去，这要看明天的天气如何变化才能决定
magvashijie made shijie bise bi qiaorun duli le echine,明天我有时间的话，我去剃头
mini kewon fugiedese jiefanjin danlane giezhiwo,我的儿子准备去当解放军
bi riinwu ne jinjisan shijiede giezhi putugvase de kharei zhi echine,如果我按时完成了任务，我星期一就回北京
bi chini dagvazhi echi dakuni chimade kieliese chimade yama ijien wainu uwo,如果我跟你说，我不能和你去，你会对我有意见吗
bi chimale hantu echise se melieshi khareizhi irene,我要是和你去的话，就得点之前回来
"giezhe made jihui bise,bi ene oronne nie arunzhane giezho",一旦我有可能，我打算换换环境
"tere dakumu kide echizhi gonien gie dane ba,inwei tere shigvenie ulie giezhi putugva dazhi wo",也许他不能回家过年，因为他还有许多事情没有做完
chi ghurun ijiele echise chi yan jien musi ne,你如果去参加宴会的话，你穿什么衣服呢
"chi made banman gie,olu lie",你帮我一下，可以吗
"chi made banzhu giezhi nie tunkuzhi ogi,mini chezi shuwata wo",请你帮我推一下，我的车子陷在泥里了
chi mini ene xinni dailazhi nie egvizhi ogise olu lie,你帮我把我的信发出去，好吗
"uijienni? nie ,olu lie",把门开着行吗
chi enezegven nie usuni hhe xinienpiinde kie,请把这些水倒在洗脸盆里
"chi hhende kielie, bi ende wo",你跟他说下，我在这里
chi mafan gie zhi zhulani feiliezhi xiniegva,请把灯吹灭
ene xieni chi enezegvenni ojienlani giedene ugvuzhi echi,今天晚上你把这些东西带回家去
dan chimade shijie bise chi magvashi nie irese olu lie,要是你有时间的话，明天来一趟，好吗
ene wilieni chimade giegvase kunpa chimade te mafan wo ba,叫你做这件事情，恐怕是太麻烦你了
ene shi bi sumulase chi nemade chu khuinashiku banman gieku nie wilie wo,这是需要你帮我的最后一件事
chini giesan enezegven wilie ni hhe ibeiz ulie matane,你做的这些事情，我永远感激不尽
"bi chimase gouji nie baer asugvune giezhi sumulazhi wo,chi made bae shikuai asugvuzhi ogise olu lie",我想向你借点钱，你能借我块钱吗
"ede chi mini bu jiaodala,bi jinda zho",现在请你别打搅我，我很忙
"pese made giegvaku wilie bise,chi made nie mejiegva",如果还有别的让我做的事情，请告诉我
hhe kunpa giedene echiwo,他恐怕已经回家去了
hhe maokoune dakumu gaiyi dane,他的坏脾气大概改不了了
chi matu giezhi sumulazhi wo?qingiese olu zho ye,你怎么认为，那样对吗
"danran,ene wiliede chinugvun hen oluzho",当然了，关于这件事你是绝对正确的
bi sumulase hhe wilieni chi giezhi sodagvazho,我认为那件事情你做错了
chi uzhese magvashi ghura baonu lie,你觉得明天下雨不下
bi mulian giese ghura ulie baone,我估计不下雨
bi uzhe se hhe shi nie yagvanie gao zhuyi wo,我觉得那是个很好的主意
hhe yale ingiezhi hhechezhiwo,他为什么那么疲倦
ene genzini chi sumulazhi olunu,你知道原因吗
hhe hende hhecheku shi kunpa hhe enudu niudu karantala hhende wilie giesan yanyin wo,他很疲倦恐怕是因为一整天工作很紧张
chi uzhese mini kewosla matugvan wo,你觉得我的孩子们怎么样
bi uzhese chini kewosla kunde yagvanie talane,我觉得你的孩子们很讨人喜欢
bi uzhese ene xieni chi giedene saose oluzho,我觉得你今晚应该呆在家里，怎么样
ada giede yan giezho,爸爸在家做什么呢
ada gienan giezho,爸爸做馍馍呢
kiende ijiegvane,给谁吃呢
fuzhugvudu baosan zhasun benmi waine,昨天下的雪半米深
